Drilled depth (m),Tilt (Degrees),Distance E (m),Distance N (m),True Vertical Depth (m),Temperature (degrees C)
772,39.411,-56.135,165.096,727.703,107.792
773,39.439,-56.352,165.693,728.476,107.793
774,39.458,-56.569,166.29,729.248,107.825
775,39.475,-56.786,166.888,730.02,107.855
776,39.502,-57.003,167.485,730.792,107.879
777,39.53,-57.22,168.083,731.563,107.913
778,39.542,-57.437,168.682,732.334,107.943
779,39.535,-57.654,169.281,733.105,107.968
780,39.53,-57.871,169.879,733.877,107.989
781,39.547,-58.088,170.477,734.648,108.027
782,39.577,-58.305,171.076,735.419,108.048
783,39.615,-58.522,171.675,736.189,108.067
784,39.667,-58.739,172.275,736.959,108.085
785,39.72,-58.956,172.876,737.729,108.123
786,39.778,-59.173,173.478,738.498,108.143
787,39.837,-59.389,174.08,739.266,108.165
788,39.911,-59.604,174.684,740.033,108.204
789,39.996,-59.818,175.29,740.8,108.232
790,40.091,-60.031,175.897,741.566,108.265
791,40.173,-60.245,176.505,742.33,108.297
792,40.245,-60.458,177.114,743.094,108.328
793,40.313,-60.672,177.724,743.857,108.354
794,40.368,-60.885,178.336,744.619,108.403
795,40.43,-61.098,178.948,745.38,108.416
796,40.494,-61.31,179.561,746.141,108.422
797,40.548,-61.523,180.175,746.901,108.449
798,40.596,-61.735,180.79,747.661,108.47
799,40.648,-61.947,181.405,748.42,108.481
800,40.7,-62.159,182.021,749.179,108.484
801,40.745,-62.372,182.638,749.936,108.488
802,40.779,-62.584,183.256,750.694,108.511
803,40.806,-62.797,183.873,751.451,108.534
804,40.839,-63.01,184.492,752.208,108.539
805,40.885,-63.222,185.11,752.964,108.558
806,40.938,-63.436,185.729,753.72,108.574
807,40.974,-63.649,186.349,754.475,108.601
808,40.998,-63.862,186.97,755.23,108.622
809,41.014,-64.075,187.59,755.984,108.632
810,41.038,-64.287,188.211,756.739,108.665
811,41.054,-64.501,188.832,757.493,108.695
812,41.076,-64.714,189.453,758.247,108.707
813,41.085,-64.929,190.074,759.001,108.756
814,41.078,-65.145,190.695,759.755,108.79
815,41.057,-65.363,191.315,760.508,108.798
816,41.041,-65.581,191.934,761.263,108.822
817,41.042,-65.8,192.553,762.017,108.864
818,41.058,-66.018,193.173,762.771,108.879
819,41.085,-66.237,193.792,763.525,108.888
820,41.117,-66.454,194.413,764.278,108.931
