Fault ID,Relative Fault Length,StartX,StartY,EndX,EndY,Strike
1475,0.012699,40.7685,13.5351,40.7644,13.5468,161.1813125
1476,0.012850,40.7668,13.5488,40.7713,13.5370,159.6133049
1477,0.002323,40.7707,13.5379,40.7717,13.5359,154.089695
1478,0.005118,40.7736,13.5395,40.7757,13.5349,156.0093619
1479,0.002124,40.7750,13.5402,40.7759,13.5383,154.7882815
1480,0.002794,40.7760,13.5378,40.7747,13.5402,152.1627884
1481,0.003332,40.7747,13.5400,40.7735,13.5430,158.6781597
1482,0.002624,40.7773,13.5446,40.7783,13.5422,158.0538629
1483,0.004575,40.7732,13.5345,40.7754,13.5306,151.1146044
1484,0.003491,40.7763,13.5346,40.7775,13.5314,160.1087467
1485,0.002339,40.7782,13.5310,40.7785,13.5287,172.5427866
1486,0.008236,40.7483,13.3809,40.7522,13.3737,152.2065574
1487,0.004616,40.7539,13.3631,40.7550,13.3587,167.4839329
1488,0.010125,40.7562,13.3397,40.7544,13.3495,170.056934
1489,0.020907,40.7549,13.3415,40.7470,13.3599,157.2297216
1490,0.003645,40.7480,13.3563,40.7498,13.3533,149.8983671
1491,0.008026,40.7500,13.3529,40.7524,13.3454,162.296184
1492,0.008587,40.7482,13.3598,40.7459,13.3678,163.9718862
1493,0.004211,40.7417,13.3624,40.7399,13.3661,154.9502224
1494,0.004228,40.7374,13.3637,40.7350,13.3671,145.2107657
1495,0.002502,40.7353,13.3667,40.7339,13.3687,146.3257111
1496,0.004505,40.7345,13.3682,40.7329,13.3722,158.2828028
1497,0.003093,40.7332,13.3719,40.7317,13.3746,151.1157848
1498,0.010279,40.7321,13.3743,40.7266,13.3829,148.0764074
1499,0.004348,40.7327,13.3808,40.7347,13.3770,152.6820436
1500,0.004093,40.7352,13.3756,40.7367,13.3719,158.6416889
1501,0.002857,40.7362,13.3725,40.7373,13.3699,158.7864028
1502,0.002651,40.7371,13.3701,40.7384,13.3679,149.1949785
1503,0.005660,40.7785,13.4815,40.7779,13.4760,5.82296384
1504,0.005675,40.7811,13.4721,40.7822,13.4776,11.11426503
1505,0.008155,40.7688,13.4834,40.7677,13.4913,172.0406163
1506,0.005647,40.7622,13.5005,40.7614,13.5060,171.7356121
1507,0.001928,40.7619,13.5030,40.7623,13.5012,166.5226974
1508,0.006468,40.7617,13.5046,40.7620,13.5110,2.566744192
