Date,Tmax,Tmin
19410306:0900,21.1,15.3
19410307:0900,19.4,12.2
19410308:0900,20,11.7
19410309:0900,19.8,9.6
19410310:0900,24.6,12.8
19410311:0900,23.2,14.3
19410312:0900,24.1,14.6
19410313:0900,23.8,15.3
19410314:0900,20,15.3
19410315:0900,16.9,12.9
19410316:0900,17.2,13.4
19410317:0900,21.4,16.2
19410318:0900,19.6,15.1
19410319:0900,17.9,13.7
19410320:0900,16.8,10
19410321:0900,12.2,9.1
19410322:0900,12.8,8.1
19410323:0900,18.8,12.2
19410324:0900,20.2,13.4
19410325:0900,21.4,13.2
19410326:0900,17.9,13.2
19410327:0900,20.7,14.5
19410328:0900,18.1,12.8
19410329:0900,18.7,11
19410330:0900,18.3,9.2
19410331:0900,20.6,10.1
19410401:0900,19.4,11.1
19410402:0900,16.1,7.6
19410403:0900,18.9,15
19410404:0900,20.9,12
19410405:0900,19.6,8.7
19410406:0900,16.7,12.2
19410407:0900,17.8,11.7
19410408:0900,16.3,7.3
19410409:0900,16.1,5.1
19410410:0900,12,5.3
19410411:0900,15.3,8.9
19410412:0900,18.4,10.9
19410413:0900,18.3,13.9
19410414:0900,19.4,6.6
19410415:0900,10.5,6.3
19410416:0900,9.6,7.1
19410417:0900,11,8.3
19410418:0900,12.1,9.9
19410419:0900,13.8,10.1
19410420:0900,17.1,11.6
19410421:0900,21.5,10.4
19410422:0900,13.9,12.2
19410423:0900,18,8.8
19410424:0900,13.8,6.1
19410425:0900,13.7,6.8
19410426:0900,14.7,10.6
19410427:0900,14,10.6
19410428:0900,17.3,10.2
19410429:0900,12.8,8.1
19410430:0900,16.1,10.6
19410501:0900,15.4,10.8
19410502:0900,12.9,11.3
19410503:0900,17.7,9.2
19410504:0900,9.9,7.6
19410505:0900,8.8,7
19410506:0900,10.1,4.2
19410507:0900,14.3,8.8
19410508:0900,17.3,6.7
19410509:0900,10.6,4
19410510:0900,13,9.3
19410511:0900,14.4,11.2
19410512:0900,14.1,11.6
19410513:0900,15,12.1
19410514:0900,14.1,11.4
19410515:0900,14.8,11.6
19410516:0900,16.7,8.4
19410517:0900,16.2,8.8
19410518:0900,14.8,9.3
19410519:0900,15.8,9.4
19410520:0900,13.4,4.1
19410521:0900,9.1,2
19410522:0900,11.9,4.6
19410523:0900,13.5,7.9
19410524:0900,13.8,7.3
19410525:0900,12.8,10.9
19410526:0900,14.9,10.3
19410527:0900,14.2,10.4
19410528:0900,13,9.4
19410529:0900,13.1,10.6
19410530:0900,15.2,4.9
19410531:0900,9.3,1.4
19410601:0900,11.7,5.5
19410602:0900,14.4,3.8
19410603:0900,14.4,5.7
19410604:0900,13,6.8
19410605:0900,15.1,5.1
19410606:0900,6.9,3.7
19410607:0900,9.9,3.4
19410608:0900,11.6,6.7
19410609:0900,11.7,2.8
19410610:0900,11.7,4.8
19410611:0900,14.9,11.1
19410612:0900,12.1,6.4
19410613:0900,12.6,7.2
19410614:0900,10.2,6.7
19410615:0900,11.6,8.1
19410616:0900,12.2,4.3
19410617:0900,12.2,3.4
19410618:0900,6.7,2.7
19410619:0900,6.3,2.8
19410620:0900,7.6,4.1
19410621:0900,7.2,5.3
19410622:0900,8.4,5.6
19410623:0900,8.9,0.2
19410624:0900,7.7,1.2
19410625:0900,12.2,3.1
19410626:0900,11.1,4.5
19410627:0900,12.6,2.3
19410628:0900,10.7,4
19410629:0900,7.2,3.7
19410630:0900,7.7,4.9
19410701:0900,7.6,2
19410702:0900,10.5,2.7
19410703:0900,10.7,6.9
19410704:0900,10.4,7.1
19410705:0900,11.4,8.7
19410706:0900,12.8,9.9
19410707:0900,13.4,10.6
19410708:0900,13.9,9.3
19410709:0900,12.8,7.1
19410710:0900,9.3,6
19410711:0900,8.3,6.1
19410712:0900,8.7,5.1
19410713:0900,8.2,3.8
19410714:0900,8.4,3.9
19410715:0900,10.5,2.3
19410716:0900,9.2,4.6
19410717:0900,8.8,1.4
19410718:0900,8.7,2.2
19410719:0900,11,1.7
19410720:0900,11.3,3.9
19410721:0900,10.1,6.8
19410722:0900,11.5,4.9
19410723:0900,13.6,5.8
19410724:0900,13.5,7.1
19410725:0900,12.6,7.4
19410726:0900,15.4,10.7
19410727:0900,12.8,9
19410728:0900,10.7,5.5
19410729:0900,8.8,4.4
19410730:0900,9.3,4.1
19410731:0900,7.8,5
19410801:0900,9.3,5.1
19410802:0900,7.1,4.6
19410803:0900,11.1,3.6
19410804:0900,5.6,3.6
19410805:0900,9.9,3.4
19410806:0900,11.3,7.1
19410807:0900,11.1,7.3
19410808:0900,14.1,8.3
19410809:0900,9.9,7.1
19410810:0900,14.5,6.4
19410811:0900,7.7,5.9
19410812:0900,6.9,1.8
19410813:0900,11.1,4.8
19410814:0900,11.3,7.1
19410815:0900,11.8,4.4
19410816:0900,5.7,3.2
19410817:0900,8.2,2.4
19410818:0900,7.2,3.8
19410819:0900,7.8,2.6
19410820:0900,10.5,4.4
19410821:0900,7.7,4.4
19410822:0900,7.7,4.5
19410823:0900,8.9,5.7
19410824:0900,9.5,5.7
19410825:0900,9.4,6.4
19410826:0900,11.8,3.9
19410827:0900,14.9,7.2
19410828:0900,11.6,6
19410829:0900,8.9,4
19410830:0900,11,5.1
19410831:0900,9.1,2.4
19410901:0900,14.2,5.5
19410902:0900,15.1,6.8
19410903:0900,12.6,8.2
19410904:0900,12.9,9.4
19410905:0900,11.1,8.3
19410906:0900,13.8,7.5
19410907:0900,10.9,5.7
19410908:0900,8.8,5.2
19410909:0900,8.2,4.4
19410910:0900,9.6,5.1
19410911:0900,11.8,3
19410912:0900,13.9,8.8
19410913:0900,14.5,8.3
19410914:0900,11.7,6.2
19410915:0900,10,6.2
19410916:0900,13.7,8.8
19410917:0900,14.9,8.2
19410918:0900,15.6,10
19410919:0900,16.1,6.2
19410920:0900,12.4,6.6
19410921:0900,14.1,7
19410922:0900,15.4,6.7
19410923:0900,13.9,7.6
19410924:0900,16.9,9.6
19410925:0900,15.1,11.1
19410926:0900,15.9,10.8
19410927:0900,13.2,8.4
19410928:0900,13.7,4.7
19410929:0900,10.5,3.4
19410930:0900,13.7,8.8
19411001:0900,13.2,8.9
19411002:0900,13.3,8.9
19411003:0900,13.2,7.7
19411004:0900,10,6.7
19411005:0900,11.7,7.3
19411006:0900,11.2,6.7
19411007:0900,14.4,4.2
19411008:0900,12.8,7.9
19411009:0900,14.1,10.1
19411010:0900,13.3,8.4
19411011:0900,10.8,4.6
19411012:0900,14.4,7.5
19411013:0900,15.9,7.3
19411014:0900,17.8,5.6
19411015:0900,16.7,10.1
19411016:0900,16.3,9.8
19411017:0900,13.4,8.9
19411018:0900,14.7,6.1
19411019:0900,12.1,4.4
19411020:0900,14.9,7.8
19411021:0900,15.9,10
19411022:0900,13.9,11.1
19411023:0900,14.6,7.8
19411024:0900,14.8,8.5
19411025:0900,15.1,5.6
19411026:0900,11.2,5
19411027:0900,13.5,5.1
19411028:0900,14.6,9.3
19411029:0900,15.1,8.3
19411030:0900,15.5,6.9
19411031:0900,14.3,7.8
19411101:0900,15.2,7.2
19411102:0900,17,7.7
19411103:0900,16.4,8.8
19411104:0900,16.1,9.1
19411105:0900,18.5,10.5
19411106:0900,17.6,13.4
19411107:0900,16.7,11.2
19411108:0900,15.8,9.3
19411109:0900,16,6.1
19411110:0900,15.4,8.3
19411111:0900,15.4,7.1
19411112:0900,18.2,10.6
19411113:0900,15.6,10
19411114:0900,15.7,8.6
19411115:0900,15.6,9.6
19411116:0900,15.1,10.7
19411117:0900,15.1,12.2
19411118:0900,15.6,7.2
19411119:0900,15.9,9.8
19411120:0900,13.7,11.5
19411121:0900,14.9,12.7
19411122:0900,16,12.3
19411123:0900,16.1,12.4
19411124:0900,20.9,10.5
19411125:0900,21.7,13.9
19411126:0900,21,11.6
19411127:0900,19,11.8
19411128:0900,15.1,12.2
19411129:0900,14.7,7.6
19411130:0900,15.7,6.6
19411201:0900,15.7,7.3
19411202:0900,16,12.7
19411203:0900,16.2,9.6
19411204:0900,19,9.9
19411205:0900,22.1,11.9
19411206:0900,18.9,12.7
19411207:0900,21.1,14.4
19411208:0900,19.9,13.8
19411209:0900,21.1,13.9
19411210:0900,18.4,15.4
19411211:0900,21,12.2
19411212:0900,19.4,12.3
19411213:0900,24.1,15.9
19411214:0900,23,13.2
19411215:0900,23.8,16.6
19411216:0900,20.5,15.9
19411217:0900,18.5,6.8
19411218:0900,15.1,7.2
19411219:0900,17.3,7.8
19411220:0900,17.5,6.6
