Analysis,Horizon,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,Rb,Sr,Zr,Nb,Ba,La,Yb,Pb,Th,U
EYS9_12,E,76.90,0.08,12.26,1.43,0.02,0.03,0.54,3.38,5.34,227,3.2,191,65,40,73,9.2,43,33,7.9
EYS9_13,E,76.62,0.09,12.38,1.36,0.02,0.03,0.58,3.53,5.39,207,7.2,210,58,133,80,10.0,38,30,7.0
EYS9_14,E,77.07,0.08,12.24,1.26,0.02,0.03,0.55,3.44,5.31,241,4.3,219,68,47,80,11.0,44,34,8.3
EYS9_15,E,76.75,0.09,12.25,1.42,0.02,0.03,0.57,3.53,5.35,226,7.5,221,65,135,92,9.4,39,35,7.7
EYS9_15_2,E,77.18,0.09,12.11,1.32,0.02,0.03,0.56,3.47,5.22,229,7.6,219,61,135,87,9.0,41,33,7.5
EYS9_16,E,77.05,0.09,12.13,1.35,0.02,0.03,0.58,3.32,5.43,226,5.9,218,61,126,87,8.0,39,33,8.1
EYS9_18,E,76.89,0.09,12.65,1.39,0.02,0.03,0.57,3.07,5.29,224,7.7,218,60,139,88,8.2,40,34,7.4
EYS9_19,E,77.04,0.09,12.32,1.33,0.02,0.03,0.53,3.35,5.29,222,6.7,223,61,137,88,7.9,39,33,7.7
EYS9_19_2,E,76.96,0.09,12.38,1.37,0.02,0.03,0.58,3.45,5.12,223,6.8,215,63,136,87,9.3,39,33,6.8
EYS9_20,E,77.23,0.08,12.22,1.30,0.02,0.03,0.55,3.42,5.14,261,3.8,236,74,56,86,9.3,45,37,8.8
EYS9_21,E,77.19,0.09,12.25,1.34,0.02,0.03,0.57,3.37,5.14,220,7.4,222,61,140,87,7.5,37,32,7.8
EYS9_22,E,76.82,0.08,12.41,1.42,0.02,0.03,0.54,3.30,5.37,246,3.0,224,69,45,82,11.4,44,36,8.8
EYS9_24,E,77.44,0.09,12.13,1.35,0.02,0.03,0.52,3.21,5.21,225,7.0,227,65,142,94,7.5,41,36,8.0
EYS9_26,E,76.96,0.09,12.36,1.34,0.02,0.03,0.58,3.30,5.33,230,7.8,227,62,136,88,8.5,41,33,7.8
EYS9_27_2,E,77.02,0.08,12.09,1.33,0.02,0.03,0.55,3.45,5.44,247,2.4,222,69,40,83,9.4,48,36,9.1
EYS9_29,E,76.84,0.08,12.36,1.32,0.02,0.03,0.57,3.30,5.47,225,7.1,223,63,129,92,8.5,42,32,7.2
EYS9_3,E,77.04,0.09,12.30,1.39,0.02,0.03,0.57,3.31,5.25,231,8.0,224,63,146,90,8.2,40,30,7.4
EYS9_3_2,E,76.66,0.09,12.40,1.33,0.02,0.03,0.58,3.59,5.28,211,8.0,206,60,121,84,8.1,36,29,7.2
EYS9_30,E,76.50,0.09,12.56,1.40,0.02,0.03,0.57,3.48,5.36,232,7.6,218,61,133,87,9.3,39,33,7.6
EYS9_31,E,76.76,0.09,12.19,1.51,0.02,0.03,0.56,3.49,5.35,218,7.7,221,59,142,92,9.0,40,34,7.3
EYS9_31_2,E,76.74,0.09,12.48,1.38,0.02,0.03,0.55,3.37,5.35,220,7.5,233,60,144,95,9.5,40,34,7.8
EYS9_33,E,77.06,0.08,12.35,1.44,0.02,0.02,0.55,3.28,5.18,223,6.6,229,59,146,88,8.2,38,33,7.5
EYS9_35,E,77.06,0.08,12.17,1.42,0.02,0.03,0.56,3.25,5.41,215,7.0,234,62,129,94,9.0,38,31,7.3
EYS9_35_2,E,76.85,0.09,12.29,1.42,0.02,0.03,0.59,3.35,5.34,222,6.7,226,60,142,88,9.3,39,33,7.6
EYS9_36,E,76.77,0.08,12.23,1.34,0.02,0.03,0.54,3.83,5.17,246,3.8,224,68,54,87,11.6,46,38,8.7
EYS9_37,E,77.25,0.09,12.19,1.37,0.02,0.03,0.55,3.20,5.30,219,8.3,219,60,138,87,9.6,39,31,7.8
EYS9_38,E,76.50,0.09,12.41,1.41,0.02,0.03,0.57,3.57,5.41,215,6.4,217,64,144,91,8.8,39,33,8.2
EYS9_39,E,76.86,0.08,12.30,1.40,0.02,0.02,0.56,3.45,5.31,238,3.5,222,68,49,81,7.6,47,35,8.4
EYS9_4,E,76.96,0.09,12.23,1.43,0.02,0.03,0.58,3.38,5.28,221,6.7,217,63,134,82,9.7,39,30,7.7
EYS9_44,E,76.62,0.09,12.32,1.37,0.02,0.03,0.57,3.48,5.50,214,6.8,228,62,141,86,8.8,39,30,7.4
EYS9_44_2,E,77.18,0.09,12.20,1.36,0.02,0.03,0.54,3.50,5.10,217,6.8,234,58,130,93,9.0,38,30,8.4
EYS9_45,E,76.85,0.09,12.16,1.33,0.02,0.03,0.57,3.66,5.29,215,7.0,237,63,139,87,10.1,38,32,6.7
EYS9_5,E,77.21,0.09,12.23,1.39,0.02,0.03,0.60,3.35,5.09,212,6.2,211,58,124,79,10.5,38,31,7.1
EYS9_6,E,77.20,0.09,12.29,1.33,0.02,0.03,0.54,3.44,5.06,212,7.7,211,61,129,82,7.3,39,33,7.6
EYS9_6_2,E,76.74,0.09,12.47,1.42,0.02,0.03,0.55,3.28,5.39,215,8.0,213,60,139,81,8.0,39,31,7.8
EYS9_7,E,77.02,0.09,12.27,1.29,0.02,0.03,0.54,3.50,5.25,203,7.0,221,63,129,84,7.8,38,33,7.9
EYS9_8,E,76.69,0.09,12.54,1.46,0.02,0.03,0.58,3.29,5.30,211,7.0,215,58,135,85,7.7,38,30,7.3
EYS9_9,E,77.38,0.09,12.23,1.39,0.02,0.03,0.56,3.17,5.14,203,6.7,204,59,129,84,8.2,37,31,6.6
EYS9_9_2,E,76.87,0.09,12.37,1.41,0.02,0.03,0.57,3.48,5.15,206,6.6,209,61,132,85,7.7,38,30,6.4
EYS10_11,F,77.54,0.08,12.36,1.34,0.05,0.01,0.57,3.14,4.90,198,8.3,222,57,127,82,8.0,37,26,6.1
EYS10_18,F,77.13,0.10,12.50,1.34,0.02,0.01,0.57,3.18,5.15,217,6.8,206,58,129,78,7.5,37,31,6.8
EYS10_19,F,77.00,0.12,12.31,1.39,0.03,0.00,0.54,3.49,5.12,212,6.8,225,61,140,88,9.1,40,31,8.2
